,RB090_COMPONENT,RB090_DATE_OUT-RB090_DATE_IN
29424,OUTSOLE,297.6463889
35837,OUTSOLE,297.6194444
35580,OUTSOLE,297.5588889
4920,OUTSOLE,297.5530556
35836,OUTSOLE,297.4927778
35838,OUTSOLE,297.4766667
33438,OUTSOLE,297.2477778
5016,OUTSOLE,297.1561111
5017,OUTSOLE,297.1561111
5018,OUTSOLE,297.1541667
35774,OUTSOLE,296.91
1938,OUTSOLE,296.7194444
35884,OUTSOLE,296.3111111
35885,OUTSOLE,296.2366667
32574,OUTSOLE,296.2063889
35881,OUTSOLE,295.9697222
35901,OUTSOLE,295.9497222
35907,OUTSOLE,295.9213889
35906,OUTSOLE,295.8308333
35902,OUTSOLE,295.8219444
35910,OUTSOLE,295.8133333
35908,OUTSOLE,295.7980556
41734,OUTSOLE,295.5294444
32771,OUTSOLE,295.3916667
32757,OUTSOLE,295.3847222
32792,OUTSOLE,295.3136111
35223,OUTSOLE,295.2186111
30589,OUTSOLE,295.1730556
43647,OUTSOLE,295.1075
43648,OUTSOLE,295.1075
43644,OUTSOLE,294.9608333
43645,OUTSOLE,294.9608333
43646,OUTSOLE,294.9608333
43649,OUTSOLE,294.9497222
43650,OUTSOLE,294.9497222
43653,OUTSOLE,294.9125
43656,OUTSOLE,294.9119444
5551,OUTSOLE,294.9061111
43676,OUTSOLE,294.7752778
43679,OUTSOLE,294.7644444
43680,OUTSOLE,294.7619444
43681,OUTSOLE,294.5919444
43682,OUTSOLE,294.5919444
41584,OUTSOLE,294.3719444
43695,OUTSOLE,294.3408333
43709,OUTSOLE,294.3077778
43696,OUTSOLE,294.2986111
43697,OUTSOLE,294.2875
43698,OUTSOLE,294.2875
43753,OUTSOLE,293.8166667
43754,OUTSOLE,293.8166667
43749,OUTSOLE,293.7977778
43752,OUTSOLE,293.7977778
43760,OUTSOLE,293.7916667
43755,OUTSOLE,293.7394444
43756,OUTSOLE,293.7333333
43758,OUTSOLE,293.6869444
43759,OUTSOLE,293.6869444
43777,OUTSOLE,293.5297222
14852,OUTSOLE,293.4480556
14857,OUTSOLE,293.4308333
43774,OUTSOLE,293.4288889
40304,OUTSOLE,293.1869444
43808,OUTSOLE,293.095
43809,OUTSOLE,293.095
40305,OUTSOLE,293.0908333
